,id,query,median_relevance,relevance_variance,product
10,28,oakley radar,3,0.471,oakley radar pitch replacement lens gray size technologically advanced piece sport equipment earth sure oakley radar ® engineer interchangeable lens design let adapt sport environment unique lens shape available choose coverage work good outdoor activity way mother nature sculpture facial physique offer wide range accessory lens set include vent design offer cool airflow good polarize lense sun oakley polarization technology use liquid infusion process bond polarizing filter molecular level eliminate haze distortion find conventional technology achieve unbeatable glare cut performance durable plutonite ® lens material offer superior impact protection filter 100 uv ray high definition optics ® hdo ® maximize clarity patent innovation like polaric ellipsoid ™ geometry precise crystal clear vision angle view
11,31,workout clothe woman,3,0.0,['']
12,32,decorative pillow,4,0.943,surya ruffle circle decorative pillows gray 18x18 poly fill stylish simple surya toss pillow perfect accent bedroom living room solid color pillow texture accent leap pillow feature beige choose 18 square pillow 22 square pillow addition ally choose pillow polyester fill fill polyester cover removable spot clean import
13,35,wall clock,4,0.0,lorell round profile radio controlled wall clock lorell round profile radio controlled wall clock digital quartz atomic
14,46,cuisinart coffee maker,4,0.0,cuisinart dcc-3200 perfectemp 14 cup programmable coffeemaker cuisinart 14 cup programmable coffeemaker equip cut edge coffee technology hotter coffee sacrifice taste choose flavor profile regular bold strength control set brew time 24 hour ahead backlit lcd easy read ready tone turn indicator light signal time decalcify
15,52,thomas train,4,0.943,bachmann trains thomas christmas express ho scale ready run electric train set holiday bright thomas christmas express ho scale ready run electric train set sport jolly hat equip snow plow thomas ready brave winter weather sure christmas tree important cargo arrive time island sodor holiday party wonderful decoration tree perfect gift thomas fan life festive thomas christmas express deliver yuletide fun child age ready run train set include thomas tank engine plow holiday hat move eye open wagon decorate tree flat car crated load merry christmas ventilated van 56 x 38 oval snap fit e z track power pack speed control instruction booklet
16,54,silver necklace,4,0.0,fremada sterling silver freeform necklace craft sterling silver necklace offer radiant glow chain secure spring ring closure necklace versatile contemporary make perfect everyday accessor
17,56,bluray hobbit extend,3,0.748,hobbit battle armies 3d blu ray disc anamorphic widescreen 16:9 blu ray disc anamorphic widescreen 16:9 | star armitage richard freeman martin mckellen ian | new line warner | 03/24/2015 | 00794043164507
18,58,cat grass,4,0.0,gimborn 731072 cat grass plus single cat 60gr gimborn 731072 cat grass plus single cat 60gr bring great outdoor inside cat catgrass plus satisfy cat‘s urge eat fresh vegetation preserve precious houseplant unique formula require water grow straight container cat grass plus help cat‘s natural digestive system act natural hairball remedy grass grow week product type single catitem weight 60 gram
19,59,soda stream,3,0.471,sodastream home soda maker kit perfect soda seltzer home push button transform tap water freshly soda second sodastream genesis home soda maker quick economical easy use fill include reusable carbonate bottle water screw machine press large button add fizz want soda flavor seltzer water add flavoring choice save money save time save energy cut carbon footprint reusable liter carbonate bottle save carry store large soda seltzer case store enjoy great saving take account homemade soda seltzer cost 20 cent liter plus help environment drastically reduce waste store buy can bottle kit include 9 1/2 x 6 x 7 sodastream genesis home soda maker 60 liter carbonator reusable bpa free carbonate bottle sodamix variety pack sampler 12 regular diet energy drink flavor click nutritional information soda way like fizz fizz sweet light create flavor order sodastream genesis home soda maker kit brookstone today
20,63,microwave,4,0.0,['']
21,64,aqua shoe,4,1.414,['']
22,65,leather men briefcase,3,0.943,royce leather rfid blocking men bifold wallet double id flap genuine leather clever way private information protect royce leather rfid blocking men bifold wallet shield place wallet interior electronic card reader steal personal information rfid bifold wallet high quality genuine leather convenient double id flap slot credit business card feature long dollar bill carrier handsome wallet thoughtful gift idea man life
23,66,girl halloween costume,2,0.471,colonial girl child halloween costume traditional lady revolutionary style travel revolutionary road year early american clothing costume include navy blue lace trim peplum blouse black length skirt include wig colonial girl child halloween costume include navy blue lace trim peplum blouse black length skirt include wig material content polyester cotton care instruction dry clean sizing child size chart vary costume detailed size chart
24,71,knife victorinox,4,0.0,victorinox swiss army 5.25 serrated utility knife victorinox 40004 steak knife classic reliable try true member cutlery family numerous variation customization steak knife serve restaurant patron pound pork countless cut beef table knife generally steak knife 5 1/4 inch serrate blade slicing favorite cut clean easy stamped construction create thin light blade knife carve rosewood handle comfortable classy round tip blade style taste look
25,72,micro usb hdmi,2,1.02,cirago cirago mhl1000 mhl adapter micro usb hdmi black cirago mhl1000 adapter mhl hdmi enable device hdtv compatible hdmi 1.3 mhl 1.0 mhl adapter ideal share content mhl compatible smartphone tablet hdtv monitor mhl adapter incorporate mobile high definition link version 1.1 technology support 1080p hd video 7.1 digital audio connect power source micro usb connector simultaneous charging device video audio playback hdtv.featuresconnect smartphone tablet mhl compatible device hdtvsupport 1080p hd video 7.1 digital audioconnects device micro usb connector male)connect power source secondary micro usb connector female simultaneous charging device video audio playback hdtvsupport hdmi 1.3mhl 1.1require mobile device mhl enabledinterface micro usb male micro usb female hdmi female)hdmi version 1.3mhl version 1.1audio 7.1 digital audiocolor black
26,73,zippo,4,0.0,['']
27,74,sleeping bag,4,0.0,snugpak chrysalis 3 sleeping bag snugpak chrysalis 3 sleeping bag perfect overnight trip temperature drop zero spacious sleeping bag come expander panel allow comfort build led assistance
28,80,router,2,1.02,['']
29,83,hello kitty,4,0.0,['']
30,88,golf club,4,0.0,pinemeadow golf nitrix pro men complete 12 piece golf club set right handed batman begin explore origin batman legend dark knight emergence force good gotham wake parent murder disillusioned industrial heir bruce wayne christian bale travel world seek mean fight injustice turn fear prey fearful return gotham unveil alter ego batman masked crusader use strength intellect array high tech deception fight sinister force threaten city stills gallery theatrical trailer language english french spanish subtitle english french spanish japanese korean dark night prologue tankman begin batman begin spoof batman journey begin shape mind body gotham city rise cape cowl batman tumbler path discovery saving gotham city genesis bat reflection write batman begin david s. goyer digital batman batman begin stunts confidential files
31,89,converse low,4,0.0,converse chuck taylor low sneaker women express individual style converse chuck you star low sneaker canvas upper athletic sneaker style rubber cap toe lace logo detail canvas line cushioning insole striped rubber midsole rubber traction outsole
32,90,memory foam pillow,4,0.471,['']
33,91,kitchen faucet,2,1.02,['']
34,94,hollister polo,3,0.471,george men short sleeve polo cold youth winter boot provide young one outstanding protection feature cool look child love snow boot ideal run sled play outside
35,98,dc shoe black,4,0.471,women dc shoes trase tx black white ntroduce trase tx low profile silhouette clean upper design surely classic feature include canvas upper breathability lightweight feel metal eyelet print dc logo new original low skate shoe metal eyelet vulcanize construction abrasion resistant sticky rubber outsole feature dc trademark
36,103,donut shoppe k cup,4,0.471,['']
37,105,hollister polo,1,0.0,cold eeze cold remedy lozenges sugar free honey lemon 18 ea note actual product packaging differ image show packaging update manufacturer homeopathic zinc gluconate glycine
38,108,eye cream,4,0.8,['']
39,109,plantronic cord headset,4,0.0,['']
40,110,sleeping bag,4,0.0,wildkin stay warm 30 degree kids sleep bag pink leopard wildkin
41,112,ps3 wireless controller,4,0.0,ps3 dualshock 3 wireless controller urban camouflage look feel like action ps3 dualshock 3 wireless controller urban camouflage compatible ps3 controller cover unique camouflage print gear action adventure intuitive sixaxis motion sense control intense vibration ps3 controller feel explosion crash comfy ergonomic grip keep comfortable stay game hour wireless playstation 3 controller give freedom bluetooth connectedeven 7 friend run low juice charge controller usb cable style color assortment vary
42,113,bluesky gel nail polish,4,0.471,bluesky 0.33 oz soak uv gel nail polish purple fedora 510 suitable hand foot bluesky shellac nail treatment damage natural nail provide 14 day incredible high gloss wear quick easy remove nail glamour treatment deserve comfort home salon color choose walk door boring nail
43,115,yankee candle,4,0.471,['']
44,119,projector,2,0.98,infocus projector lamp in112a in114a in116a infocus projector lamp in112a in114a in116a description sp lamp-086 infocus certified replacement projector lamp in112a in114a in116a
45,122,macbook case 13 case,4,0.943,macally 13 macbook air case macbook air look clean pristine macally 13 macbook air case lightweight durable case feature 2 piece snap design protect macbook air ding scratch offer custom fit provide access port sensor vent opening reduce heat build state art 13 macbook case include anti slip silica gel foot design specifically 13 model allow transport computer worry
46,124,girl halloween costume,4,0.0,['']
47,126,iphone 5,3,1.095,mophie juice pack plus iphone 5 red charge apple iphone 5 5s mophie juice pack plus 39367bbr charge case provide additional 16 hour battery life little 1.5 hour charge time plastic rubber material offer protection
48,135,vanity fair bras,2,0.471,vanity fair 100 year hardcover vanity fair 100 years showcase century personality power art commerce crisis culture?both highbrow low inception 1913 jazz age depression reincarnation boom boom reagan year image saturate information age vanity fair present modern era unfold wit imagination peerless literary narrative bold groundbreake imagery great photographer artist illustrator day sumptuous book take decade decade look world see magazine stop describe incomparable editor frank crowninshield birth jazz age vanity fair magazine?s controversial rebirth 1983 history glamorous vanity fair oscar party exhaustive sweep visual impact time capsule format vanity fair 100 year book want 2013
49,136,duffle bag,4,0.471,"pittsburgh steelers roadblock duffel black t time stand proud showcase undying spirit winning team american football handsome shoulder strap pittsburgh steelers roadblock duffel celebrate accomplishment multiple super bowl champion nfl franchise magnificent zippered duffel bag offer interior spaciousness handle belonging ease perfect travel companion casual weekend away trip gym activity need roomy bag multiple compartment fine stitched polyester beauty fit bill come steelers fan let hear noise measure 11.5h""x20w""x13d closure type zip closure include shoulder strap exterior features zippered closure interior feature multiple compartments handle type removable strap adustable shoulder strap shell material polyester liner material polyester handle material nylon dimensions 11.5 h x 20.0 w x 13.0 d weight 3.0 lb warranty description 60 day limited manufacturer warranty info"
50,143,white plain dinner set,4,0.471,['']
51,145,dress shirt,3,0.433,george boys 2 piece dress shirt tie set george boys 2 piece dress shirt tie set boy look smart sharp comfortable design impeccable match 2 piece set boy look great piece great mix match exist closet choose assorted option
52,151,lead christmas light,4,0.0,set 96 twinkle warm white led christmas lights extension set black wire set 96 twinkle warm white led christmas lights extension set black wire led connect 24v new flexible lighting system
53,161,steel necklace,3,0.471,['']
54,164,kitchenaid mixer,2,0.471,kitchenaid rrfga food grinder mixer attachment refurbish accessorize kitchenaid stand mixer quickly grind meat firm fruit vegetable dry bread cheese attachment versatile attachment include coarse fine grind plate
55,171,dc shoe black,3,0.471,boys dc shoes pure black grey yellow kids pure feature heavy duty soft resilient upper metal eyelet lace lock foam pad tongue collar lightweight mesh tongue vulcanize construction abrasion resistant sticky rubber outsole multi tone dc trademark pill pattern sole design allow comfortable walk age feature leather canvas upper
56,172,duffle bag,4,0.49,day carry tactical large heavy duty you shoulder duffle bag odg day carry duffle bag construct heavy duty 600d polyester withstand harsh environment accommodate gear mission hiking excursion dual carry handle adjustable shoulder strap long carry time main compartment feature wide mouth easily fit gear inside pull tab zipper additional pocket easily stash access small item item need ready hand
57,173,hello kitty,3,0.471,sanrio co. hello kitty woman 3.4 ounce eau de toilette tester spray hello kitty perfume introduce design house sanrio co. fragrance available 3.4 ounce eau de toilette tester spray
58,176,pot pan set,4,0.433,['']
59,181,electric blanket,4,0.0,sunbeam heated electric blanket channel microplush king size slate grey indulge rich softness sunbeam channeled microplush heated blanket slate grey king size ultra soft microplush fabric smooth touch stylish channel pattern hemmed edge finish blanket sophistication personalized heat setting prepare restful night soothe comfort elegance thermofine warming system blanket monitor temperature auto adjust level warmth consistent night sunbeam blanket allow save 10 percent year heating bill turn heated blanket set thermostat 10 15 percent 8 hour sleep blanket include 10 heating level easy operate control make simple find exactly right setting easy care blanket fully machine washable dryer safe 100 percent polyester include 5 year limited warranty sunbeam -twin 62 x 83 single heating control -full 72 x 83 single heating control -queen 84 x 89 dual heating controls -king 100 x 89 dual heating control
60,183,aveeno shampoo,2,0.471,herbal essences body envy volumizing shampoo 33.8 oz herbal essences body envy volumizing shampoo give hair body will quit lightweight formula shampoo infuse passion flower pearl natural volume shine herbal essences body envy shampoo 33.8 oz fresh exhilarate scent work rich thick lather ideal hair type include color treat hair herbal essences volumize shampoo come pump applicator add convenience good result combine herbal essences body envy volumizing conditioner sell separately
61,189,blender,4,0.943,bosch universal plus blender pitcher blender pitcher design puree mix blend crumb soup sauce fresh nut butter baby food sandwich spread blender feature large 4 cup capacity title bosch universal plus blender color white include blender lid funnel capacity 6 cups motor 800 watts use bosch universal motor setting 4 speed attach mixer dimensions 10 inch high x 4 inch wide x 5 inch deep material plastic removable blade easy cleaning fit old universal mixer fit universal plus mixers
62,194,skecher women shoe,2,0.894,danskin girl bungee tie cross trainer shoe upper pu mesh outsole eva fabric useasoftbristlebrushtoremoveanysurfacedirtordustfromtheshoe
63,195,bird seed feeder,4,0.0,['']
64,197,long prom dress,2,0.943,r m richards petites long lace mesh ribbon belt dress exude classic elegance long formal dress r&m richards feature darling ribbon belt waist allover rise mesh lace
65,199,lead christmas light,2,0.0,"swirl led lighted christmas tree glitterdome figure winter town scene pack 2 winter scene swirl lead lighted christmas tree glitterdome figure magnetic motor christmas tree glitterdome swirl iridescent glitter inside time interval basis tree light led light tree surround colorful wintry town scene convenient switch battery operate include dimension 8.5""h x 8""w x 6.5""d material(s resin plastic pack include 2 item show"
66,200,harleydavidson,3,0.471,['']
67,201,harleydavidson,2,0.748,ultimate harley davidson hardcover update new generation bike lover visually stunning comprehensive history harley davidson chart company bike decade decade moment model roll backyard shed milwaukee harley postwar golden age seek bike distinguish company today ultimate harley davidson present seventy beautiful covet harleys time 1911 v twin 1999 x1 lightning seventy harley davidson bike examine present minute detail close up engine depth technical specification
68,204,bike lock,4,0.0,wordlock bike lock match key 10 mm 5 ft black features benefitsmatchkey system key color matches cable color word key matches word lock laser etched unique key shape match key product heavy duty flexible steel cable 10 mm thick 5 foot long bike mount bracket
69,211,rain jacket,4,0.0,['']
70,214,duffle bag,4,0.0,walterdrake duffle bag stylish tapestry luggage lightweight rugged water resistant duffle bag luggage set nest easy storage durable polyester leather like trim duffle removable strap adjust 26 l. 14 1/2 h x 20 1/2 w x 5 1/4 d.
71,215,lego star war,4,0.471,['']
72,217,reusable straw,4,1.414,itzy ritzy snack happens reusable snack bag thermos straw bottle jungle leave home snack stash smart thinking cracker fruit sandwich candy bribe stylishly contain colorful zippered bag eco friendly carrier come modern pattern adorable forget plastic bag exist well machine washable cleaning reusing easy itzy ritzy snack happens reusable snack bags reusable machine washable bag snack sandwich fda approve bpa free machine washable lining bag lead free phthalate free cpsia certify zipper allow silent snacking messy crumb getting stick velcro ideal little hand measure 7 inch 7 inch thermos straw bottle 11 ounces combine lightweight portability superior durability eastman tritan copolyester container body impact resistant kid friendly dishwasher safe
73,218,projector,4,0.0,lg ph300 minibeam led projector embedded battery built digital tuner lg minibeam projector feature digital tv tuner build 2.5 hour battery lead light source easily convert display tablet projector hdmi compatible cable control content straight projector plug play medium usb include remote control auto keystone automatically correct skewed picture 40 degree projector feature hd 1280 x 720 resolution led rgb lamp 20 100 inch screen size
74,220,kitchenaid glass bowl,4,0.0,['']
75,221,yoga mat,4,0.0,macbeth collection margarita fashion yoga mat fit style macbeth collection fashion yoga mat perfect accessory help fit carry fitness class unroll right home mat easily clean dirty slip resistant safety
76,228,portable hard drive,4,0.0,"toshiba canvio connect 2 tb portable external hard drive black store important file picture medium ease toshiba canvio connect 2 tb portable external hard drive hard drive 2 tb capacity design hold 1,300,000 photo 571,000 hour music compatible microsoft windows 8 7 xp toshiba 2 tb hard drive file centralize allow easy access black hard drive 5,4000rpm speed let retrieve file quickly effortlessly enhance way use computer handy hard drive"
77,230,harleydavidson,4,0.943,['']
78,232,rice cooker,4,0.0,['']
79,241,ps3 wireless controller,3,0.748,rock candy wireless controller red ps3 play video game style rock candy wireless controller ps3 instead traditional black red translucent design use express personality style button feature controller standard game system include wireless adapter convenience enjoy ps3 game extent rock candy controller red
80,243,power surge protector,4,0.471,accell powramid power center surge protector accell powramid power center surge protector description powramid power center surge protector typical surge protector continue supply power long provide surge protection expose connected device potential damage power surge power stop technology powramid automatically stop conduct power absorption reach capacity powramid provide advanced 1080 joule surge protection feature patented x3 mov technology maximum safety connected device powramid surge protector available black white feature 4 foot ground power cord
81,245,toaster oven,4,0.0,oster 4 slice toaster oster 4 slice toaster oven conveniently prepare meal snack have turn big conventional oven ideal quick grab food heating leftover
82,247,face cream,2,0.943,retinol face moisturizer organic lilie de vallee 4 oz cream retinol face moisturizer organic 4 ozorganic retinol moisturizer powerful cocktail antioxidant combine vitamin diminish fine line wrinkle premature aging sun exposure vitamin boast long list clinically prove restorative anti age property result orient formulation fight free radical damage restore renew firmness elasticity thickness skin direction apply small face neck night apply sunscreen day paraben free
83,248,hawaiian shirt,2,0.0,polo shirt mossimo supply co. detail sizing junior knit type pique material 95 cotton 5 spandex neckline style round polo collar sleeve style short set sleeve basic sleeve banded cuff closure style button garment length hip hem type plain hem care cleaning machine wash cold machine wash gentle delicate non chlorine bleach need tumble dry normal low heat iron low pattern solid pattern apply
84,249,multiple phone charger,1,0.471,samsung galaxy s5 mini 16 gb unlocked gsm dual sim cell phone super slim 9.1 mm galaxy s5 mini offer technology galaxy s5 conveniently compact design enjoy unsurpassed performance compact size make handed use comfortable ip67 certification galaxy s5 mini resistant sweat rain liquid sand dust feel free use phone practically situation
85,252,hollister polo,2,0.632,george boys long sleeve polo shirts 4 pack value bundle george boys long sleeve polo shirts 4 pack value bundle ideal child school wardrobe polo shirt fine soft cotton blend treat scotchgard protector prevent stain traditional style polo shirt feature flat knit rib collar matching cuff include vent seam breathability sweat patch tagless label prevent itching irritation george polo shirt come variety color mix match school uniform essential pair jean complete polished look george boys
86,253,table clock,4,0.866,howard miller windsor carriage table clock howard miller windsor table clock add elegance setting handsome carriage style clock quartz movement bevel side feature black roman numeral glass crystal metal waterfall bezel polished brass finish craft select hardwood veneer rich warm windsor cherry finish howard miller begin 1920 howard miller clock impress superior quality design howard miller wall floor mantel clock craft generation perfectly accent home miller begin manufacture wall mantel clock michigan evolve encompass cabinet making furniture design renowned quality style howard miller company proudly stand reputation world largest clock manufacturer 7h x 6w x 2.5d inch windsor cherry finish crystal glass cover quartz movement battery operate bevel side base
87,265,rain boot,4,0.0,women black red tall rain boots choose pair chic durable rubber boot wear rainy day foot tidy garden muck soil sturdy easily washable boot withstand bad weather help perform backyard chore line soft knit fabric toe warm rainy day
88,266,cat grass,1,0.0,special kitty outdoor dry cat food 44 lb item special kitty dry cat food know cat rule want serve good food high quality variety use wholesome ingredient support health taste delicious trust special kitty cat food provide nutritious premium product cat crave advanced outdoor formula specific attention need outdoor pet provide extra energy need active outdoor animal product support eye bone tooth health cat actually reward smile thank wholesome cat food special kitty outdoor dry cat food 44 lb
89,268,vanity fair bras,3,0.471,fruit loom comfort close sports bra style 96014 4 pack esta fruta del sujetador confort deportivo delanteros cerca loom estilo 96014 es perfecto para el uso diario es fácil de llevar con su característica de cierre frontal y tiene un frente fruncida para una mejor conformación además se construye con 2 capas de cobertura sin complicacione elige uno de los colores variado fruit loom comfort cerrar sostén deportivo estilo 96014 fácil de llevar cerca delante de algodón sujetador frente fruncida para mejorar la conformación 2 capas para una cobertura sin complicacione perfecto para todo los días lavar máquina en frío
90,269,wii microphone,4,0.4,['']
91,271,high chair,2,0.8,cosco simple fold high chair zury invite fun meal time cosco simple fold high chair easy stow high chair specially design simple ride size position adjustable tray grow child give extra room need cleanup easy messy meal thank wipeable seat pad high chair fold quickly storage sight pack easily car dining home travel simple fold high chair give child fun place eat cosco simple fold high chair zury easy wipe seat make baby goo simple clean fold flat stand make easy hide away compact fold great take nonsense design set second size 3 position adjustable tray build cup holder wipeable seat pad comfortable leg rest little foot 3 point harness keep child 50 lb secure
92,275,san francisco 49er,4,0.471,san francisco 49ers official nfl infant size hood infant towel baby warm dry hooded towel super soft terry cloth print logo
93,276,stick vacuum,4,0.0,bissell 53y8 lift floors cordless 2 in-1 stick vacuum powerful convenient bissell lift floors cordless 2 in-1 stick vacuum smart choice everyday mess include brush roll switch safely effectively clean floor type detachable hand vacuum make easy clean stair upholstery
94,279,ice cream maker,4,0.0,koolatron deluxe double treat ice cream maker ft03 double deck cone koolatron deluxe double treat ice cream maker mix batch different flavor time place ingredient chocolate vanilla hit switch ice cream maker start mix automatically stop delicious treat reach perfect temperature include instruction manual recipe book sweet inspiration dishwasher safe easy clean require 4 aa battery purchase separately 6h”x6w”x10l
95,281,extremely goofy movie,3,0.894,goofy movie frame dvd g 78 minute disney you outrageous fun laughter disney legendary comedian star length motion picture great tradition quality disney animation goofy movie classic blend irresistible character unforgettable music endear modern day story lovable goof bond teenage son max hilarious cross country road trip en route ol' fishing hole find floppy ear misadventure max learn wrong take dear old dad little goofy question answer showstoppe finale max goofy crash stage spectacular rock concert perform fill action pack scene narrow escape comic close encounter bigfoot disney critically acclaim hit comedy delightfully memorable adventure family love take call goofs cartoon goofy success story cartoon goofy movie dvd storybook goofy movie trivia game theatrical trailer
96,289,gym glove,2,0.748,['']
97,290,double stroller,4,0.0,contours options elite twin tandem double baby stroller sand new < table > < tr > < td > .style1 text align center font family berlin sans fb demi font size x large color 800000 .style2 text align center font family cooper black font size large .style3 text align center font family berlin sans fb demi font size large color 800000 .style4 text align center .style5 font family berlin sans fb demi font size large .style6 font family berlin sans fb demi font size large text align center .style7 font family gill sans ultra bold color 800000 .style8 font family arial black font size xx large text align center .style9 font family gill sans ultra bold font size large text align center text decoration underline color 800000 .style10 font family berlin sans fb demi font size large color 800000 .style11 font family gill sans ultra bold font size large color 800000 .style12 font family cooper black font size large color 800000 text decoration underline .style13 font family cooper black color 800000 text decoration underline .style14 color 800000 .style15 font size large < p > new contours options elite twin tandem double stroller sand < p > good world < p > auth dealer contours purchase cover mfg warranty < p > < p></p></p></p></p></p></td></tr></table >
98,295,wine rack,4,0.0,jumbo bin 120 bottle mahogany wine rack jumbo bin 120 bottle wine rack durable beautiful eco friendly hand cut hand sand remarkably color grain
99,296,leather men briefcase,3,0.471,leather briefcase removable laptop sleeve red stay stylishly connect luxurious italian leather bag honeycomb memory structure laptop sleeve zip offer easy access 2 divide section removable padded laptop sleeve protect computer inside bag hold laptop 15.4 second section include gussete zip pocket disk pocket cell phone pocket pen pocket outer u shape organizer pocket feature double zipper space medium gadget business card pen loop lightweight bag weigh 4 lb 2 tubular forearm strap plus removable leather shoulder strap nonslip neoprene pad absorb shock alleviate body strain
100,299,wall clock,3,0.894,bulova gymnasium 18 wall clock underappreciated charm vintage schoolhouse accessory finally get due bulova gymnasium 18 wall clock bring classic design solid hardwood case timeless brown cherry finish faux leather insert complement contrast stitch metal cage protect glass lens presumably fly dodge ball clock use quartz movement require aa battery include bulova corporation realization great american dream begin 1875 joseph bulova 23 year old immigrant bohemia open small jewelry store malden lane new york city modest enterprise evolve today preeminent watch clock company 1911 bulova begin manufacture boudoir desk clock fine pocket watch sell unprecedented number world war wristwatch issue military great convenience return veteran bring home new fashion new market emerge bulova timepiece use fine material precision craftsmanship state art technology endure quality performance heart bulova watch precision accuracy fine quartz movement alternative technology solar mechanical energy bulova watch guarantee accurate minute year bulova anti magnetic shock resistant feature company unique distortion free scratch resistant dura crystal bulova offer range styling scope product meet need sporty marine star collection diamond watch heirloom quality timepiece bulova watch clock complement style
101,300,keurig coffee maker,4,0.471,['']
102,302,sport bra,4,0.0,danskin core strength push foam sport bra high impact 2 pack danskin core strength push foam sport bra bra wear day have continuously adjust worry spill bend slight push underwire bra offer excellent support push sport bra great moisture sweat absorption feel wet itchy middle physical activity contour padded sport bra keep breast place offer day comfort sport bra lend nice shape breast squish black sport bracan wear physical activity like run work gym danskin core strength push foam sport bra wear daily basis make great bra everyday wear mesh material great addition cup provide ultimate support
103,305,girl halloween costume,4,0.943,['']
104,307,patio table,3,0.471,somette athens 48 inch cast aluminum outdoor table ice bucket item 17204485 outdoor gathering somette athens outdoor table enamored center table ice bucket memory cold drink ice easy reach set adaptability home need splendor function characteristic cast aluminum aged bronze finish accent lovely bowed table leg lattice style design adjustable foot inset fit guest need
105,321,toy truck,4,0.0,nickelodeon paw patrol rocky recycling truck vehicle figure race rescue nickelodeon paw patrol rocky recycling truck paw patrol job big pup small danger near yelp paw patrol help rocky recycling truck fun toy take straight beloved nickelodeon jr. paw patrol feature brave pup rocky paw patrol rocky truck vehicle figure feature plucky pup green recycling truck truck outfit movable fork lift open compartment real work wheel truck push direction easily rocky figure recycling truck toy line toy popular series delight young fan rescue mission friendship teamwork bravery choose chase marshall zuma skye rocky rubble unique transformation toy sell separately toy recommend age 3 nickelodeon paw patrol rocky recycling truck vehicle figure popular nick jr. paw patrol learn adventure bravery teamwork include rocky truck real work wheel
